conv_id,utterance_idx,emotion_label,context,utterance
hit:3821_conv:7643,1,sentimental,My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,My son just graduated this spring and will be starting college in a couple of weeks.
hit:3821_conv:7643,2,sentimental,My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,I am sure you are proud of him
hit:3821_conv:7643,3,sentimental,My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,"I am, and excited for him... it's bringing back a lot of memories of how I felt when I was his age."
hit:3821_conv:7643,4,sentimental,My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,Memories are a good thing
hit:3821_conv:7643,5,sentimental,My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,"True, it just makes me feel a little old!"
hit:10773_conv:21547,1,furious,"I hated group projects but when I had to work with a partner for my senior thesis and he did nothing. I was so mad, I spent weeks on it and he took most of the credit for it.",I had to work with a partner for my senior thesis and he did nothing! Do you like group work?
hit:10773_conv:21547,2,furious,"I hated group projects but when I had to work with a partner for my senior thesis and he did nothing. I was so mad, I spent weeks on it and he took most of the credit for it.",Oh I hate group work for that exact reason. I'd rather just have company while I did the work
hit:10773_conv:21547,3,furious,"I hated group projects but when I had to work with a partner for my senior thesis and he did nothing. I was so mad, I spent weeks on it and he took most of the credit for it.",Me too! I spent months on it and we ended up with the same grade.
hit:10773_conv:21547,4,furious,"I hated group projects but when I had to work with a partner for my senior thesis and he did nothing. I was so mad, I spent weeks on it and he took most of the credit for it.",What a shame. I wouldn't make them my partner again. (and I might venture so far as to notify the professor)
hit:12304_conv:24609,1,content,I am so happy with my life. I have a wonderful husband and some pretty awesome kids,I sometimes catch myself looking at my husband and kids and thinking to myself that my life is good.
hit:12304_conv:24609,2,content,I am so happy with my life. I have a wonderful husband and some pretty awesome kids,Life is good when its like that
hit:12304_conv:24609,3,content,I am so happy with my life. I have a wonderful husband and some pretty awesome kids,"It really is, and sometimes it is things like that, that people take for granted"
hit:12304_conv:24609,4,content,I am so happy with my life. I have a wonderful husband and some pretty awesome kids,Cherish those moments
hit:8310_conv:16620,1,hopeful,I just had a great job interview. I think I might get this job. I really want it.,I just went a job interview. I feel it went really well. I really wish that I get it.
hit:8310_conv:16620,2,hopeful,I just had a great job interview. I think I might get this job. I really want it.,What kind of job is it?
hit:8310_conv:16620,3,hopeful,I just had a great job interview. I think I might get this job. I really want it.,Its a Financial analyst position with a really great company.
hit:8310_conv:16620,4,hopeful,I just had a great job interview. I think I might get this job. I really want it.,Sounds like a promising job
hit:11111_conv:22222,1,hopeful,I have a long distance relationship. I am in love with him and I have faith our relationship will work.,I have an online relationship with a guy. I am in love with him
hit:11111_conv:22222,2,hopeful,I have a long distance relationship. I am in love with him and I have faith our relationship will work.,That's great!  Have you ever met?
hit:11111_conv:22222,3,hopeful,I have a long distance relationship. I am in love with him and I have faith our relationship will work.,no yet. Just webcam and pics. But I am saving to go visit him
hit:11111_conv:22222,4,hopeful,I have a long distance relationship. I am in love with him and I have faith our relationship will work.,that's exciting.  
hit:5277_conv:10555,1,embarrassed,I passed gas in the middle of church.  I am so ashamed of myself.,I passed gas in the middle of church.
hit:5277_conv:10555,2,embarrassed,I passed gas in the middle of church.  I am so ashamed of myself.,"Well it is natural, maybe bad food choice?"
hit:5277_conv:10555,3,embarrassed,I passed gas in the middle of church.  I am so ashamed of myself.,I ate too many beans. I am so ashamed of myself!
hit:5277_conv:10555,4,embarrassed,I passed gas in the middle of church.  I am so ashamed of myself.,Oh you shouldn't be. Don't eat before church though ;)
hit:5123_conv:10247,1,sentimental,I still look at my kids baby photos. There were so sweet and innocent then,I still look at my kids baby photos
hit:5123_conv:10247,2,sentimental,I still look at my kids baby photos. There were so sweet and innocent then,I know what you mean because I do it too
hit:5123_conv:10247,3,sentimental,I still look at my kids baby photos. There were so sweet and innocent then,They used to be so sweet and innocent. Now they are literally home wreckers lo
hit:5123_conv:10247,4,sentimental,I still look at my kids baby photos. There were so sweet and innocent then,hahaha you don't say :)
hit:5123_conv:10247,5,sentimental,I still look at my kids baby photos. There were so sweet and innocent then,I do say and its true
hit:8414_conv:16828,1,faithful,Going to church yesterday made me feel better. I am looking forward to this week,Going to church yesterday really made me feel better. I am looking forward to this week now
hit:8414_conv:16828,2,faithful,Going to church yesterday made me feel better. I am looking forward to this week,What church do you go to?
hit:8414_conv:16828,3,faithful,Going to church yesterday made me feel better. I am looking forward to this week,Its a baptist church down the road
hit:8414_conv:16828,4,faithful,Going to church yesterday made me feel better. I am looking forward to this week,"I haven't been lately, did you do a confession?"
hit:1445_conv:2890,1,trusting,This girl just left her Iphone with me. She doesn't even know me.,This girl just left her Iphone with me. She doesn't even know me
hit:1445_conv:2890,2,trusting,This girl just left her Iphone with me. She doesn't even know me.,"Woah, did she say she was coming back? She's awfully trusting."
hit:1445_conv:2890,3,trusting,This girl just left her Iphone with me. She doesn't even know me.,"Yea, she's coming back. I'm not gonna do anything with it, but someone else could easily just walk off with it."
hit:1445_conv:2890,4,trusting,This girl just left her Iphone with me. She doesn't even know me.,"Totally, and I bet most people would walk off with it. I have no faith in humanity."
hit:7734_conv:15468,1,surprised,I got a raise at my job today and I've only been there three months! I was so shocked I couldn't believe it.,I looked at my pay-stub online and noticed I got a raise today! I couldn't believe it. I've only been there 3 months so it felt good to get noticed for my work ethic and performance.
hit:7734_conv:15468,2,surprised,I got a raise at my job today and I've only been there three months! I was so shocked I couldn't believe it.,That is great. Good job.
hit:7734_conv:15468,3,surprised,I got a raise at my job today and I've only been there three months! I was so shocked I couldn't believe it.,"Thank you! It felt great too, since I left my last job because I felt underappreciated and overworked. So, it was a nice present of appreciation to see! I was shocked."
hit:7734_conv:15468,4,surprised,I got a raise at my job today and I've only been there three months! I was so shocked I couldn't believe it.,Nice.
hit:1681_conv:3363,1,annoyed,"We got a new employee at work, and I don't know why, but it always bothered me that he always decided to sit at my station, even though there was always an empty desk next to my usual one.","A while back, we got a new guy at our office, and of course he always picks my counter to sit at."
hit:1681_conv:3363,2,annoyed,"We got a new employee at work, and I don't know why, but it always bothered me that he always decided to sit at my station, even though there was always an empty desk next to my usual one.",Oh really! Any ideas why?
hit:1681_conv:3363,3,annoyed,"We got a new employee at work, and I don't know why, but it always bothered me that he always decided to sit at my station, even though there was always an empty desk next to my usual one.","I don't know, but I even have pictures of my cat and some Funko Pops at that desk, and the one next to me is never used."
hit:1681_conv:3363,4,annoyed,"We got a new employee at work, and I don't know why, but it always bothered me that he always decided to sit at my station, even though there was always an empty desk next to my usual one.",Maybe they like you?
hit:1681_conv:3363,5,annoyed,"We got a new employee at work, and I don't know why, but it always bothered me that he always decided to sit at my station, even though there was always an empty desk next to my usual one.","No way, he already has two wives (seriously), and he's definitely not into guys."
hit:1035_conv:2070,1,guilty,Last week was my friend's birthday. I always take her to dinner for her birthday and buy her a drink. I totally forgot about her birthday.,"Every year n=on my friends's birthday, I take her out for dinner and drinks. Her birthday was last week."
hit:1035_conv:2070,2,guilty,Last week was my friend's birthday. I always take her to dinner for her birthday and buy her a drink. I totally forgot about her birthday.,how did it go?
hit:1035_conv:2070,3,guilty,Last week was my friend's birthday. I always take her to dinner for her birthday and buy her a drink. I totally forgot about her birthday.,I totally forgot that it was her birthday. I felt so bad.
hit:1035_conv:2070,4,guilty,Last week was my friend's birthday. I always take her to dinner for her birthday and buy her a drink. I totally forgot about her birthday.,how did you make up for it?
hit:9192_conv:18384,1,disgusted,I swallowed a fly today. I was so grossed out.,I swallowed a fly today on the way home from work.
hit:9192_conv:18384,2,disgusted,I swallowed a fly today. I was so grossed out.,"Oh gross, did you spit it back out?"
hit:9192_conv:18384,3,disgusted,I swallowed a fly today. I was so grossed out.,"I tried, but it wouldn't come out. I was so grossed out and I thought I was going to die on the spot!"
hit:9192_conv:18384,4,disgusted,I swallowed a fly today. I was so grossed out.,Oh no! I'm so sorry to hear that. Maybe it's not that bad? just drink a lot of water
hit:2211_conv:4422,1,embarrassed,I've got something I'm really ashamed of.,I'm very self conscious about being an ex con
hit:2211_conv:4422,2,embarrassed,I've got something I'm really ashamed of.,I'm sorry to hear that.
hit:2211_conv:4422,3,embarrassed,I've got something I'm really ashamed of.,"Thank You, the worst part is that I was wrongfully convicted."
hit:2211_conv:4422,4,embarrassed,I've got something I'm really ashamed of.,I'm sure you will be vindicated.
hit:2211_conv:4422,5,embarrassed,I've got something I'm really ashamed of.,"no, I've already done my time."
hit:8360_conv:16720,1,disgusted,I ate some bad meat this morning. It made me really sick,I ate some bad meat this morning. It made me really sick
hit:8360_conv:16720,2,disgusted,I ate some bad meat this morning. It made me really sick,I hope your okay! Do you think you have food poising?
hit:8360_conv:16720,3,disgusted,I ate some bad meat this morning. It made me really sick,"I think the meat might have expired, which was my fault"
hit:8360_conv:16720,4,disgusted,I ate some bad meat this morning. It made me really sick,"Oh I see, make sure to look at expriatian date next time :)"
hit:8307_conv:16614,1,proud,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,I've been weight lifting for 6 years now and I can finally say I'm very proud of my physique! I'm 30 years old and look better now than I did at 20!
hit:8307_conv:16614,2,proud,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,Congrats! I am also working hard at getting super fit too at 35! It is harder the older you are but totally doable if you're committed!
hit:8307_conv:16614,3,proud,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,Oh absolutely! Weight lifting has amazing health benefits. Studies show that even starting at the age of 80 will improve overall well being by a lot!
hit:8307_conv:16614,4,proud,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,So true! Building muscle is great!
hit:8307_conv:16614,5,proud,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,It's a huge confident booster too. The positives creep into all aspects of life.
hit:6071_conv:12143,1,lonely,I just moved to a new city for work. I havent made any friends yet and I am missing my old home city.,So I just moved to a new city and havent really made any friends here yet. Im really missing my friends and family back home.
hit:6071_conv:12143,2,lonely,I just moved to a new city for work. I havent made any friends yet and I am missing my old home city.,Do you like your new city?
