conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:10773_conv:21547,furious,"['angry', ' disappointed', ' annoyed']",angry,
hit:11111_conv:22222,hopeful,"['hopeful', ' excited', ' anxious']",hopeful,1.0
hit:12304_conv:24609,content,"['content', ' grateful', ' nostalgic']",content,1.0
hit:3821_conv:7643,sentimental,"['proud', 'excited', 'nostalgic']",proud,
hit:8310_conv:16620,hopeful,"['excited', 'hopeful', 'proud']",excited,2.0
hit:11111_conv:22222,hopeful,"['excited', ' hopeful', ' anticipating']",excited,2.0
hit:1445_conv:2890,trusting,"['surprised', ' grateful', ' trusting']",surprised,3.0
hit:5123_conv:10247,sentimental,"['nostalgic', ' amused', ' disappointed']",nostalgic,
hit:5277_conv:10555,embarrassed,"['embarrassed', 'ashamed', 'grateful']",embarrassed,1.0
hit:8414_conv:16828,faithful,"['hopeful', ' joyful', ' anticipating']",hopeful,
hit:1035_conv:2070,guilty,"['disappointed', ' guilty', ' embarrassed']",disappointed,2.0
hit:1445_conv:2890,trusting,"['anxious', ' worried', ' distrustful']",anxious,
hit:1681_conv:3363,annoyed,"['surprised', ' annoyed', ' embarrassed']",surprised,2.0
hit:7734_conv:15468,surprised,"['excited', ' grateful', ' surprised']",excited,3.0
hit:9192_conv:18384,disgusted,"['disgusted', 'terrified', 'surprised']",disgusted,1.0
hit:2211_conv:4422,embarrassed,"['ashamed', 'sad', 'grateful']",ashamed,
hit:6071_conv:12143,lonely,"['lonely', ' nostalgic', ' grateful']",lonely,1.0
hit:8307_conv:16614,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:8360_conv:16720,disgusted,"['guilty', 'sad', 'embarrassed']",guilty,
hit:9192_conv:18384,disgusted,"['concerned', ' hopeful', ' caring']",concerned,
hit:11375_conv:22751,disgusted,"['disappointed', ' grateful', ' annoyed']",disappointed,
hit:11899_conv:23799,guilty,"['surprised', 'annoyed', 'confident']",surprised,
hit:4531_conv:9063,surprised,"['proud', ' confident', ' anticipating']",proud,
hit:6071_conv:12143,lonely,"['curious', 'concerned', 'interested']",curious,
hit:7777_conv:15554,anxious,"['excited', ' happy', ' grateful']",excited,
hit:9941_conv:19883,guilty,"['excited', ' proud', ' hopeful']",excited,
hit:11426_conv:22853,disgusted,"['sad', ' surprised', ' sympathetic']",sad,
hit:168_conv:337,terrified,"['anxious', ' relieved', ' grateful']",anxious,
hit:4531_conv:9063,surprised,"['proud', ' impressed', ' grateful']",proud,
hit:7106_conv:14212,sad,"['sad', ' disappointed', ' anxious']",sad,1.0
hit:9481_conv:18962,proud,"['proud', ' nostalgic', ' sad']",proud,1.0
hit:11426_conv:22853,disgusted,"['sad', ' nostalgic', ' empathetic']",sad,
hit:1205_conv:2410,annoyed,"['annoyed', ' anxious', ' understanding']",annoyed,1.0
hit:1800_conv:3601,disgusted,"['sad', 'angry', 'frustrated']",sad,
hit:2545_conv:5090,lonely,"['sad', 'lonely', 'disappointed']",sad,2.0
hit:7060_conv:14121,anticipating,"['excited', 'hopeful', 'joyful']",excited,
hit:2545_conv:5090,lonely,"['lonely', 'surprised', 'sad']",lonely,1.0
hit:3367_conv:6735,prepared,"['proud', 'content', 'hopeful']",proud,
hit:4249_conv:8499,terrified,"['afraid', ' relieved', ' grateful']",afraid,
hit:5748_conv:11496,afraid,"['afraid', 'annoyed', 'disgusted']",afraid,1.0
hit:6631_conv:13262,anticipating,"['excited', ' hopeful', ' envious']",excited,
hit:12423_conv:24846,afraid,"['terrified', ' sad', ' sympathetic']",terrified,
hit:1998_conv:3996,angry,"['angry', 'sad', 'anxious']",angry,1.0
hit:3864_conv:7728,excited,"['excited', 'hopeful', 'relieved']",excited,1.0
hit:5748_conv:11496,afraid,"['confused', ' frustrated', ' curious']",confused,
hit:7186_conv:14372,hopeful,"['hopeful', 'anticipating', 'grateful']",hopeful,1.0
hit:11708_conv:23417,sad,"['excited', ' hopeful', ' joyful']",excited,
hit:1998_conv:3996,angry,"['sad', 'afraid', 'grateful']",sad,
hit:2937_conv:5875,angry,"['angry', 'sad', 'annoyed']",angry,1.0
hit:7262_conv:14525,furious,"['angry', ' annoyed', ' disappointed']",angry,
hit:7420_conv:14840,jealous,"['jealous', ' disappointed', ' hopeful']",jealous,1.0
hit:2582_conv:5165,guilty,"['guilty', 'sad', 'annoyed']",guilty,1.0
hit:2945_conv:5891,ashamed,"['hopeful', 'content', 'grateful']",hopeful,
hit:4025_conv:8051,angry,"['angry', ' frustrated', ' hopeful']",angry,1.0
hit:4627_conv:9254,proud,"['proud', ' grateful', ' hopeful']",proud,1.0
hit:7262_conv:14525,furious,"['amused', ' annoyed', ' sarcastic']",amused,
hit:11176_conv:22352,faithful,"['proud', ' grateful', ' happy']",proud,
hit:4627_conv:9254,proud,"['proud', 'hopeful', 'impressed']",proud,1.0
hit:7764_conv:15528,furious,"['angry', 'frustrated', 'annoyed']",angry,
hit:9312_conv:18625,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:11762_conv:23525,devastated,"['sad', 'grieving', 'surprised']",sad,
hit:11862_conv:23724,sentimental,"['nostalgic', ' joyful', ' content']",nostalgic,
hit:2397_conv:4795,trusting,"['anxious', ' trusting', ' hopeful']",anxious,2.0
hit:7764_conv:15528,furious,"['anxious', ' angry', ' empathetic']",anxious,
hit:9108_conv:18216,sentimental,"['sad', ' nostalgic', ' hopeful']",sad,
hit:10332_conv:20664,hopeful,"['hopeful', ' anticipating', ' excited']",hopeful,1.0
hit:12102_conv:24204,guilty,"['embarrassed', ' hopeful', ' grateful']",embarrassed,
hit:9430_conv:18860,content,"['content', 'relaxed', 'content']",content,1.0
hit:9954_conv:19909,anxious,"['anxious', ' hopeful', ' apprehensive']",anxious,1.0
hit:10332_conv:20664,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:11314_conv:22629,joyful,"['impressed', 'excited', 'hopeful']",impressed,
hit:12052_conv:24105,prepared,"['excited', ' hopeful', ' content']",excited,
hit:3574_conv:7149,excited,"['excited', 'grateful', 'proud']",excited,1.0
hit:4896_conv:9793,caring,"['hopeful', ' content', ' anticipating']",hopeful,
hit:10260_conv:20521,ashamed,"['ashamed', ' upset', ' angry']",ashamed,1.0
hit:11802_conv:23604,angry,"['annoyed', ' angry', ' frustrated']",annoyed,2.0
hit:1835_conv:3671,surprised,"['surprised', ' excited', ' proud']",surprised,1.0
hit:5555_conv:11110,terrified,"['afraid', 'nostalgic', 'content']",afraid,
hit:8485_conv:16971,lonely,"['lonely', 'hopeful', 'anticipating']",lonely,1.0
hit:1015_conv:2030,surprised,"['surprised', ' disappointed', ' annoyed']",surprised,1.0
hit:10720_conv:21441,trusting,"['grateful', ' trusting', ' proud']",grateful,2.0
hit:11802_conv:23604,angry,"['annoyed', 'disappointed', 'frustrated']",annoyed,
hit:2209_conv:4419,confident,"['hopeful', 'anticipating', 'content']",hopeful,
hit:7486_conv:14973,lonely,"['sad', 'lonely', 'grateful']",sad,2.0
hit:1015_conv:2030,surprised,"['sad', ' apologetic', ' annoyed']",sad,
hit:12400_conv:24801,content,"['comfortable', ' content', ' grateful']",comfortable,2.0
hit:1881_conv:3763,excited,"['excited', ' hopeful', ' grateful']",excited,1.0
hit:3977_conv:7955,surprised,"['excited', ' surprised', ' apprehensive']",excited,2.0
hit:4755_conv:9511,anxious,"['anxious', ' anticipating', ' hopeful']",anxious,1.0
hit:2963_conv:5926,surprised,"['surprised', 'ashamed', 'embarrassed']",surprised,1.0
hit:3964_conv:7929,trusting,"['grateful', ' trusting', ' hopeful']",grateful,2.0
hit:489_conv:978,confident,"['excited', 'hopeful', 'proud']",excited,
hit:542_conv:1084,jealous,"['angry', 'frustrated', 'disappointed']",angry,
hit:5029_conv:10058,jealous,"['jealous', 'annoyed', 'grateful']",jealous,1.0
hit:7592_conv:15184,grateful,"['grateful', ' surprised', ' joyful']",grateful,1.0
hit:8586_conv:17173,joyful,"['sad', 'afraid', 'faithful']",sad,
hit:9899_conv:19799,furious,"['worried', 'sad', 'concerned']",worried,
hit:9943_conv:19887,anxious,"['anxious', ' annoyed', ' worried']",anxious,1.0
hit:1872_conv:3744,afraid,"['terrified', ' surprised', ' hopeful']",terrified,
hit:3694_conv:7388,anxious,"['anxious', 'worried', 'hopeful']",anxious,1.0
hit:6294_conv:12589,anticipating,"['excited', ' surprised', ' proud']",excited,
hit:7592_conv:15184,grateful,"['excited', ' content', ' joyful']",excited,
hit:90_conv:181,excited,"['excited', ' hopeful', ' nostalgic']",excited,1.0
hit:11969_conv:23938,furious,"['devastated', ' angry', ' disappointed']",devastated,
hit:2262_conv:4524,excited,"['excited', 'anticipating', 'hopeful']",excited,1.0
hit:3015_conv:6030,furious,"['angry', 'sad', 'disappointed']",angry,
hit:3192_conv:6384,afraid,"['afraid', ' worried', ' grateful']",afraid,1.0
hit:90_conv:181,excited,"['anticipating', ' hopeful', ' excited']",anticipating,3.0
hit:9889_conv:19778,surprised,"['excited', 'happy', 'surprised']",excited,3.0
hit:11953_conv:23907,apprehensive,"['excited', ' anxious', ' hopeful']",excited,
hit:2262_conv:4524,excited,"['excited', ' joyful', ' content']",excited,1.0
hit:2263_conv:4527,annoyed,"['annoyed', ' angry', ' disappointed']",annoyed,1.0
hit:6991_conv:13983,disappointed,"['disappointed', 'hopeful', 'encouraging']",disappointed,1.0
hit:745_conv:1491,sad,"['worried', 'scared', 'anxious']",worried,
hit:11069_conv:22139,impressed,"['proud', ' hopeful', ' nostalgic']",proud,
hit:1193_conv:2386,trusting,"['sad', ' hopeful', ' caring']",sad,
hit:11953_conv:23907,apprehensive,"['excited', ' anticipating', ' curious']",excited,
hit:2149_conv:4298,anticipating,"['anxious', ' hopeful', ' confident']",anxious,
hit:3981_conv:7963,nostalgic,"['nostalgic', ' wistful', ' hopeful']",nostalgic,1.0
hit:442_conv:885,devastated,"['sad', 'grateful', 'lonely']",sad,
hit:3981_conv:7963,nostalgic,"['nostalgic', ' surprised', ' impressed']",nostalgic,1.0
hit:5173_conv:10346,apprehensive,"['anxious', 'sad', 'relieved']",anxious,
hit:7423_conv:14847,joyful,"['excited', ' joyful', ' grateful']",excited,2.0
hit:8304_conv:16609,sad,"['disappointed', ' angry', ' surprised']",disappointed,
hit:995_conv:1990,excited,"['excited', 'relieved', 'hopeful']",excited,1.0
hit:10523_conv:21046,ashamed,"['disappointed', ' hopeful', ' grateful']",disappointed,
hit:4272_conv:8545,content,"['proud', ' grateful', ' hopeful']",proud,
hit:5236_conv:10473,confident,"['hopeful', ' confident', ' anticipating']",hopeful,2.0
hit:7423_conv:14847,joyful,"['excited', 'hopeful', 'content']",excited,
hit:3344_conv:6688,prepared,"['sad', ' hopeful', ' grateful']",sad,
hit:4169_conv:8339,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:4498_conv:8997,guilty,"['guilty', ' ashamed', ' anxious']",guilty,1.0
hit:4997_conv:9994,trusting,"['disgusted', 'embarrassed', 'relieved']",disgusted,
hit:5236_conv:10473,confident,"['hopeful', ' grateful', ' anticipating']",hopeful,
hit:12180_conv:24361,content,"['content', 'excited', 'hopeful']",content,1.0
hit:2998_conv:5997,confident,"['hopeful', 'excited', 'confident']",hopeful,3.0
hit:5372_conv:10744,confident,"['excited', ' hopeful', ' confident']",excited,3.0
hit:8422_conv:16845,terrified,"['worried', 'sad', 'grateful']",worried,
hit:9880_conv:19760,lonely,"['anxious', 'lonely', 'afraid']",anxious,2.0
hit:12055_conv:24110,confident,"['proud', 'excited', 'grateful']",proud,
hit:2998_conv:5997,confident,"['surprised', 'excited', 'content']",surprised,
hit:3561_conv:7123,hopeful,"['hopeful', ' excited', ' confident']",hopeful,1.0
hit:7561_conv:15122,surprised,"['surprised', ' shocked', ' angry']",surprised,1.0
hit:8986_conv:17973,excited,"['excited', 'joyful', 'hopeful']",excited,1.0
hit:12404_conv:24808,prepared,"['angry', ' annoyed', ' hopeful']",angry,
hit:2245_conv:4491,terrified,"['surprised', ' afraid', ' amused']",surprised,
hit:3814_conv:7628,surprised,"['surprised', ' grateful', ' content']",surprised,1.0
