conv_id,utterance_idx,emotion_label,context,utterance
hit:5438_conv:10877,1,surprised,My dad just gave me his carbon fiber road bike since he got a new one!  I never expected he would give it to me because I know its worth a lot!,My dad just gave me his carbon fiber road bike since he got a new one! I never expected he would give it to me because I know its worth a lot!
hit:5438_conv:10877,2,surprised,My dad just gave me his carbon fiber road bike since he got a new one!  I never expected he would give it to me because I know its worth a lot!,Yeah they're great. Super light and rigid.  They feel kind of springy when you ride them
hit:5438_conv:10877,3,surprised,My dad just gave me his carbon fiber road bike since he got a new one!  I never expected he would give it to me because I know its worth a lot!,I know!  I love it!  I would never have been able to afford it on my own!  It wasn't even my birthday either!
hit:5438_conv:10877,4,surprised,My dad just gave me his carbon fiber road bike since he got a new one!  I never expected he would give it to me because I know its worth a lot!,Do you have clipless pedals on it?
hit:5951_conv:11902,1,disappointed,I had a really great job interview. I thought I did well but they called and said I didnt get the job.,I had a really great job interview. I thought it went well and would receive and offer. They called today to say they went with someone else. Im a little upset.
hit:5951_conv:11902,2,disappointed,I had a really great job interview. I thought I did well but they called and said I didnt get the job.,"So sorry, you never really can tell with these things can you?"
hit:5951_conv:11902,3,disappointed,I had a really great job interview. I thought I did well but they called and said I didnt get the job.,Im starting to learn that. I just got my hopes up was all. Well on to the next one I guess.
hit:5951_conv:11902,4,disappointed,I had a really great job interview. I thought I did well but they called and said I didnt get the job.,I wish you good luck.
hit:3026_conv:6052,1,confident,I am waiting my exams results. I am sure that I passed the exams. ,I am waiting my exams results. I am sure that I passed the exams.
hit:3026_conv:6052,2,confident,I am waiting my exams results. I am sure that I passed the exams. ,i hope that you did well on them
hit:3026_conv:6052,3,confident,I am waiting my exams results. I am sure that I passed the exams. ,I was well prepared. I am pretty sure that I did well.
hit:3026_conv:6052,4,confident,I am waiting my exams results. I am sure that I passed the exams. ,thats great
hit:9743_conv:19487,1,confident,"I'm always detached from the outcome of any scenario.  Because even though I don't get my way one time, I know the odds will be better the next couple of times around it's how lady luck works","Detachment from the outcome is key to my personal success. Because even though I don't get my way one time, I know the odds will be better the next couple of times around it's how lady luck works"
hit:9743_conv:19487,2,confident,"I'm always detached from the outcome of any scenario.  Because even though I don't get my way one time, I know the odds will be better the next couple of times around it's how lady luck works",You sound like you'd be a good therapist.
hit:9743_conv:19487,3,confident,"I'm always detached from the outcome of any scenario.  Because even though I don't get my way one time, I know the odds will be better the next couple of times around it's how lady luck works",Thanks.  I've just learned the hard way so many times that I've had to flip my paradigm on it's head and eat humble pie
hit:9743_conv:19487,4,confident,"I'm always detached from the outcome of any scenario.  Because even though I don't get my way one time, I know the odds will be better the next couple of times around it's how lady luck works","It's been to be humble than rude or mean, that's my motto."
hit:9635_conv:19270,1,confident,I am always the man and I repeat it as a mantra.  When someone tries to get me down I just harden up and remember that I'm probably smarter than them and do my own thing anyway,I am always the man and I repeat it as a mantra. When someone tries to get me down I just harden up and remember that I'm probably smarter and tougher than them.  Because I'm a M*****N BAWSSS
hit:9635_conv:19270,2,confident,I am always the man and I repeat it as a mantra.  When someone tries to get me down I just harden up and remember that I'm probably smarter than them and do my own thing anyway,That sounds like a great way to keep yourself motivated! 
hit:9635_conv:19270,3,confident,I am always the man and I repeat it as a mantra.  When someone tries to get me down I just harden up and remember that I'm probably smarter than them and do my own thing anyway,"Yessir/maam more people need to think like this honestly.  I'm a millenial and am disgusted by this underlying promotion of self-loathing...it's one thing to be humble but damn son, get that chip off your shoulder by doing something about it!!! hahaha"
hit:9635_conv:19270,4,confident,I am always the man and I repeat it as a mantra.  When someone tries to get me down I just harden up and remember that I'm probably smarter than them and do my own thing anyway,Everyone needs some way to keep them going! 
hit:7934_conv:15868,1,jealous,"My ex jilted me for another lady,now im made ,he desperately busy gossiping nothings","He felt i would amount to nothing ,all with pride1"
hit:7934_conv:15868,2,jealous,"My ex jilted me for another lady,now im made ,he desperately busy gossiping nothings",Who are you talking about?
hit:7934_conv:15868,3,jealous,"My ex jilted me for another lady,now im made ,he desperately busy gossiping nothings","My ex jilted me for another lady,now im made ,he desperately busy gossiping nothings"
hit:7934_conv:15868,4,jealous,"My ex jilted me for another lady,now im made ,he desperately busy gossiping nothings",that is sad. why would he gossip! that's so low
hit:3740_conv:7481,1,disgusted,i ate a food at a restaurant and could not finish it,"I went to a new restaurant last friday and they asked what sauce i would like my food to be cooked with , i said give me the spice dragon thinking it was gonna be hot , it was sweet and tangy i only ate a bit and left the rest there"
hit:3740_conv:7481,2,disgusted,i ate a food at a restaurant and could not finish it,"Oh wow, that's disappointing! "
hit:3740_conv:7481,3,disgusted,i ate a food at a restaurant and could not finish it,"it really was , i really dont like sweet food at all, i cant even stand candy"
hit:3740_conv:7481,4,disgusted,i ate a food at a restaurant and could not finish it,I'm really sorry to hear that! 
hit:12203_conv:24407,1,trusting,I just bough a brand new car. I let my brother drive it even though he isn't a good driver.,"I just bought a brand new car,"
hit:12203_conv:24407,2,trusting,I just bough a brand new car. I let my brother drive it even though he isn't a good driver.,How exciting! What kind of car is it?
hit:12203_conv:24407,3,trusting,I just bough a brand new car. I let my brother drive it even though he isn't a good driver.,It is a Honda Accord. I let my brother drive even though he is not that good of a driver.
hit:12203_conv:24407,4,trusting,I just bough a brand new car. I let my brother drive it even though he isn't a good driver.,Oh sounds nice. Hopefully he doesn't have any accidents in it.
hit:1796_conv:3592,1,surprised,I recently found out that my wife is pregnant.  I was so shocked by the news.,I recently found out my wife is pregnant.
hit:1796_conv:3592,2,surprised,I recently found out that my wife is pregnant.  I was so shocked by the news.,Congratulations. We have a boy on the way. 3 months to go!
hit:1796_conv:3592,3,surprised,I recently found out that my wife is pregnant.  I was so shocked by the news.,I was so shocked by the news.  Thank you!
hit:1796_conv:3592,4,surprised,I recently found out that my wife is pregnant.  I was so shocked by the news.,I remember my surprise too. She tricked me all day and said she wasn't pregnant.
hit:1861_conv:3722,1,lonely,"Before I met my girlfriend and friends I was very lonely, that was not a fun time","Before I met my girlfriend and friends I was very lonely, that was not a fun time"
